poison_rate,poison_rate_pct,trigger_size,config_id,clean_acc,clean_f1,backdoor_acc,backdoor_f1,asr,acc_backdoored_malware,isolation_forest_acc,isolation_forest_f1,pruned_acc,pruned_f1,noisy_acc,noisy_f1,acc_change_pct,acc_drop_pct,isolation_forest_recovery_pct,pruned_recovery_pct,noisy_recovery_pct,f1_drop,f1_drop_pct,isolation_forest_f1_recovery_pct,pruned_f1_recovery_pct,noisy_f1_recovery_pct
0.01,1.0,16,P1_T16,0.6768,0.7145,0.6641,0.7126,0.9983,0.0017,0.6038,0.6565,0.5167,0.1319,0.5074,0.0786,-1.8728,1.8728,-475.8185,-1162.9191,-1235.9763,0.0019,0.2636,-2980.9487,-30834.9536,-33665.5855
0.01,1.0,32,P1_T32,0.6252,0.7175,0.5796,0.5602,0.999,0.001,0.625,0.7222,0.5128,0.0939,0.4902,0.0077,-7.2975,7.2975,99.6493,-146.2904,-195.8247,0.1573,21.9191,103.0066,-296.4888,-351.3454
0.01,1.0,48,P1_T48,0.7079,0.7536,0.5645,0.6942,0.997,0.003,0.7213,0.7682,0.6155,0.4275,0.5049,0.0708,-20.2547,20.2547,109.3496,35.5885,-41.5379,0.0594,7.8857,124.4996,-448.7568,-1048.9838
0.01,1.0,64,P1_T64,0.7462,0.7721,0.7015,0.7452,0.9928,0.0072,0.6968,0.7563,0.6202,0.4212,0.4989,0.0489,-5.9877,5.9877,-10.5192,-181.927,-453.3908,0.0269,3.4832,41.2791,-1204.8287,-2589.2021
0.01,1.0,128,P1_T128,0.6984,0.7453,0.6886,0.7252,0.9983,0.0017,0.7288,0.7448,0.5292,0.1765,0.5033,0.0708,-1.3997,1.3997,410.8951,-1630.9974,-1895.3964,0.0201,2.6932,97.6152,-2733.8447,-3260.2316
0.03,3.0,16,P3_T16,0.6646,0.7306,0.7107,0.7573,0.9986,0.0014,0.7327,0.7688,0.6617,0.555,0.5117,0.1554,6.9224,-6.9224,-47.9026,106.379,432.4169,-0.0266,-3.6456,-43.107,759.3464,2259.4662
0.03,3.0,32,P3_T32,0.6971,0.7492,0.7393,0.7712,0.9991,0.0009,0.6289,0.7154,0.6998,0.6399,0.4993,0.0815,6.0556,-6.0556,261.5184,93.77,568.6131,-0.022,-2.9328,254.1182,597.536,3138.8176
0.03,3.0,48,P3_T48,0.6115,0.715,0.6668,0.7356,0.998,0.002,0.621,0.7137,0.6349,0.4715,0.5101,0.1013,9.0539,-9.0539,82.7041,57.6409,283.0744,-0.0206,-2.8864,106.2775,1279.9309,3073.814
0.03,3.0,64,P3_T64,0.6279,0.7201,0.7194,0.7619,0.804,0.196,0.6688,0.734,0.7133,0.68,0.5107,0.1139,14.575,-14.575,55.3649,6.6925,228.1086,-0.0418,-5.8044,66.6634,195.8913,1550.2669
0.03,3.0,128,P3_T128,0.6923,0.7234,0.7168,0.7675,0.9978,0.0022,0.7264,0.7734,0.6084,0.3791,0.5101,0.0918,3.5308,-3.5308,-39.1696,443.424,845.5103,-0.044,-6.0869,-13.3843,882.019,1534.3674
