config_id,poison_rate,poison_rate_pct,trigger_size,clean_accuracy,clean_precision,clean_recall,clean_f1,clean_auc,backdoor_accuracy,backdoor_delta_accuracy,backdoor_variation_accuracy_pct,backdoor_f1,backdoor_delta_f1,backdoor_variation_f1_pct,backdoor_precision,backdoor_recall,backdoor_auc,asr,acc_backdoored_malware,iso_accuracy,iso_delta_accuracy,iso_variation_accuracy_pct,iso_f1,iso_delta_f1,iso_variation_f1_pct,iso_precision,iso_recall,iso_auc,iso_n_removed,iso_removal_rate,iso_det_precision,iso_det_recall,iso_det_f1,pruned_accuracy,pruned_delta_accuracy,pruned_variation_accuracy_pct,pruned_f1,pruned_delta_f1,pruned_variation_f1_pct,pruned_precision,pruned_recall,pruned_auc,pruned_weights,noisy_accuracy,noisy_delta_accuracy,noisy_variation_accuracy_pct,noisy_f1,noisy_delta_f1,noisy_variation_f1_pct,noisy_precision,noisy_recall,noisy_auc,pruning_rate,noise_std
P1_T16,0.01,1.0,16,0.60488,0.561451,0.95824,0.708045,0.718341,0.721885,0.117005,19.343506,0.761615,0.05357,7.565932,0.666414,0.88855,0.799241,0.99848,0.00152,0.73694,0.015055,2.085512,0.770392,0.008776,1.152323,0.683478,0.88263,0.815578,2948,0.004913,0.009498,0.009333,0.009415,0.62717,-0.094715,-13.120511,0.455094,-0.306521,-40.246191,0.845177,0.31138,0.79799,13858674,0.50024,-0.221645,-30.703644,0.666773,-0.094842,-12.452745,0.50012,1.0,0.501515,0.8,0.01
P1_T32,0.01,1.0,32,0.70181,0.643858,0.90323,0.751802,0.779108,0.63867,-0.06314,-8.996737,0.711352,-0.04045,-5.380456,0.592225,0.89047,0.718787,0.98453,0.01547,0.718085,0.079415,12.434434,0.754313,0.042961,6.039369,0.668417,0.86554,0.811334,2931,0.004885,0.011941,0.011667,0.011802,0.61274,-0.02593,-4.06,0.471036,-0.240316,-33.782993,0.742859,0.34485,0.719009,13856032,0.50659,-0.13208,-20.680477,0.669562,-0.04179,-5.874681,0.503318,0.99979,0.509524,0.8,0.01
P1_T48,0.01,1.0,48,0.71335,0.655798,0.89805,0.75804,0.817161,0.61909,-0.09426,-13.21371,0.718472,-0.039568,-5.219759,0.569806,0.9721,0.702642,0.99723,0.00277,0.65987,0.04078,6.587087,0.73853,0.020058,2.791805,0.599814,0.96071,0.745439,2963,0.004938,0.010125,0.01,0.010062,0.617085,-0.002005,-0.323862,0.469084,-0.249388,-34.710861,0.764617,0.33832,0.702651,13856318,0.500575,-0.118515,-19.14342,0.666873,-0.051599,-7.181726,0.500288,0.99978,0.505884,0.8,0.01
P1_T64,0.01,1.0,64,0.6793,0.617079,0.94502,0.746626,0.761392,0.5865,-0.0928,-13.661122,0.703962,-0.042664,-5.714298,0.548228,0.98328,0.747483,0.99813,0.00187,0.753255,0.166755,28.432225,0.781658,0.077696,11.036967,0.700969,0.88334,0.837867,3004,0.005007,0.006991,0.007,0.006995,0.712035,0.125535,21.404092,0.682188,-0.021774,-3.09311,0.761072,0.61812,0.749337,13857605,0.50144,-0.08506,-14.502984,0.667285,-0.036677,-5.210067,0.500721,0.9999,0.511655,0.8,0.005
P1_T128,0.01,1.0,128,0.653375,0.602307,0.90296,0.722608,0.668373,0.654825,0.00145,0.221925,0.730892,0.008284,1.146461,0.598909,0.93749,0.748512,0.99795,0.00205,0.611865,-0.04296,-6.560531,0.713871,-0.017021,-2.328799,0.565303,0.96837,0.738227,2879,0.004798,0.014936,0.014333,0.014628,0.612235,-0.04259,-6.504028,0.404213,-0.326679,-44.69596,0.872021,0.26308,0.750138,13858360,0.50027,-0.154555,-23.602489,0.666787,-0.064106,-8.770872,0.500135,1.0,0.50346,0.8,0.01
P3_T16,0.03,3.0,16,0.641855,0.593113,0.90359,0.716149,0.738261,0.710935,0.06908,10.762555,0.754367,0.038218,5.336581,0.655829,0.88775,0.784828,0.9985,0.0015,0.758825,0.04789,6.7362,0.777955,0.023589,3.126942,0.720782,0.84498,0.825728,8787,0.014645,0.028793,0.028111,0.028448,0.522825,-0.18811,-26.459522,0.151606,-0.602761,-79.902885,0.682761,0.08527,0.785355,13859022,0.50008,-0.210855,-29.65883,0.666702,-0.087664,-11.620932,0.50004,1.0,0.50319,0.8,0.01
P3_T32,0.03,3.0,32,0.714375,0.659654,0.88575,0.756163,0.797198,0.690675,-0.0237,-3.317585,0.751449,-0.004713,-0.623314,0.628053,0.93519,0.777451,0.99737,0.00263,0.750865,0.06019,8.714663,0.77619,0.024741,3.292416,0.704569,0.86402,0.821395,8856,0.01476,0.029923,0.029444,0.029682,0.61865,-0.072025,-10.428204,0.421074,-0.330375,-43.965059,0.873771,0.27737,0.776836,13855952,0.500315,-0.19036,-27.561444,0.666807,-0.084643,-11.263921,0.500158,1.0,0.50143,0.8,0.01
P3_T48,0.03,3.0,48,0.730415,0.676665,0.88254,0.766011,0.818689,0.621835,-0.10858,-14.865522,0.718938,-0.047073,-6.145196,0.57205,0.96732,0.717814,0.00132,0.99868,0.703515,0.08168,13.135317,0.733531,0.014594,2.029881,0.666095,0.81616,0.772521,8929,0.014882,0.029455,0.029222,0.029338,0.619245,-0.00259,-0.416509,0.718816,-0.000121,-0.01689,0.569806,0.97336,0.716999,13857441,0.50174,-0.120095,-19.313001,0.667403,-0.051535,-7.168161,0.500872,0.99983,0.507429,0.8,0.01
P3_T64,0.03,3.0,64,0.750915,0.69737,0.88656,0.780666,0.836736,0.62208,-0.128835,-17.157068,0.717578,-0.063088,-8.081346,0.572828,0.96022,0.679164,0.0006,0.9994,0.623125,0.001045,0.167985,0.717765,0.000187,0.026089,0.573699,0.95845,0.653648,9455,0.015758,0.032047,0.033667,0.032837,0.62284,0.00076,0.122171,0.701117,-0.016461,-2.293934,0.580614,0.88474,0.677772,13857555,0.500025,-0.122055,-19.620467,0.666678,-0.0509,-7.093353,0.500013,1.0,0.50111,0.8,0.01
P3_T128,0.03,3.0,128,0.70586,0.641818,0.93165,0.76004,0.783609,0.718995,0.013135,1.860851,0.756236,-0.003804,-0.500556,0.667742,0.87177,0.786418,0.98012,0.01988,0.708735,-0.01026,-1.426992,0.76345,0.007214,0.953951,0.642714,0.94004,0.805492,9043,0.015072,0.032843,0.033,0.032921,0.632405,-0.08659,-12.043199,0.725305,-0.030931,-4.090083,0.578982,0.9706,0.787352,13855938,0.50417,-0.214825,-29.878511,0.668499,-0.087737,-11.601863,0.502094,0.99988,0.511466,0.8,0.005
